2019-03-13 08:42:38,992 - ClusterTrainer - INFO - |  Hyperparameter  |         Value          |
| :--------------- | :--------------------- |
| lr               | 0.00023036864686002868 |
| code_size        | 66                     |
| lin2_in_channels | 66                     |
| dropout          | 0.14450710583231505    |

2019-03-13 08:42:38,994 - ClusterTrainer - INFO - Train Epoch: 0
2019-03-13 08:42:39,074 - ClusterTrainer - INFO -    > [128/517313 (0%), 44.08s] Loss: 0.072891 
2019-03-13 08:42:42,029 - ClusterTrainer - INFO -    > [8192/517313 (2%), 42.46s] Loss: 0.019000 
2019-03-13 08:42:44,987 - ClusterTrainer - INFO -    > [16256/517313 (3%), 41.37s] Loss: 0.009935 
2019-03-13 08:42:47,937 - ClusterTrainer - INFO -    > [24320/517313 (5%), 40.77s] Loss: 0.009192 
2019-03-13 08:42:50,893 - ClusterTrainer - INFO -    > [32384/517313 (6%), 40.31s] Loss: 0.007690 
2019-03-13 08:42:53,841 - ClusterTrainer - INFO -    > [40448/517313 (8%), 39.65s] Loss: 0.006903 
2019-03-13 08:42:56,786 - ClusterTrainer - INFO -    > [48512/517313 (9%), 38.91s] Loss: 0.006570 
2019-03-13 08:42:59,738 - ClusterTrainer - INFO -    > [56576/517313 (11%), 37.89s] Loss: 0.006492 
2019-03-13 08:43:02,686 - ClusterTrainer - INFO -    > [64640/517313 (12%), 37.37s] Loss: 0.006564 
2019-03-13 08:43:05,638 - ClusterTrainer - INFO -    > [72704/517313 (14%), 36.85s] Loss: 0.006138 
2019-03-13 08:43:08,585 - ClusterTrainer - INFO -    > [80768/517313 (16%), 36.19s] Loss: 0.006204 
2019-03-13 08:43:11,537 - ClusterTrainer - INFO -    > [88832/517313 (17%), 35.70s] Loss: 0.005577 
2019-03-13 08:43:14,481 - ClusterTrainer - INFO -    > [96896/517313 (19%), 34.59s] Loss: 0.005622 
2019-03-13 08:43:17,426 - ClusterTrainer - INFO -    > [104960/517313 (20%), 34.43s] Loss: 0.005648 
2019-03-13 08:43:20,381 - ClusterTrainer - INFO -    > [113024/517313 (22%), 33.56s] Loss: 0.005288 
2019-03-13 08:43:23,331 - ClusterTrainer - INFO -    > [121088/517313 (23%), 32.75s] Loss: 0.005499 
2019-03-13 08:43:26,280 - ClusterTrainer - INFO -    > [129152/517313 (25%), 33.38s] Loss: 0.004988 
2019-03-13 08:43:29,230 - ClusterTrainer - INFO -    > [137216/517313 (26%), 31.36s] Loss: 0.005466 
2019-03-13 08:43:32,180 - ClusterTrainer - INFO -    > [145280/517313 (28%), 30.80s] Loss: 0.005214 
2019-03-13 08:43:35,130 - ClusterTrainer - INFO -    > [153344/517313 (30%), 30.08s] Loss: 0.004896 
2019-03-13 08:43:38,078 - ClusterTrainer - INFO -    > [161408/517313 (31%), 29.54s] Loss: 0.004827 
2019-03-13 08:43:41,027 - ClusterTrainer - INFO -    > [169472/517313 (33%), 28.83s] Loss: 0.004891 
2019-03-13 08:43:43,977 - ClusterTrainer - INFO -    > [177536/517313 (34%), 28.29s] Loss: 0.004280 
2019-03-13 08:43:46,925 - ClusterTrainer - INFO -    > [185600/517313 (36%), 27.60s] Loss: 0.004109 
2019-03-13 08:43:49,874 - ClusterTrainer - INFO -    > [193664/517313 (37%), 26.67s] Loss: 0.004619 
2019-03-13 08:43:52,822 - ClusterTrainer - INFO -    > [201728/517313 (39%), 26.00s] Loss: 0.003963 
2019-03-13 08:43:55,774 - ClusterTrainer - INFO -    > [209792/517313 (41%), 25.39s] Loss: 0.004205 
2019-03-13 08:43:58,721 - ClusterTrainer - INFO -    > [217856/517313 (42%), 24.94s] Loss: 0.003754 
2019-03-13 08:44:01,677 - ClusterTrainer - INFO -    > [225920/517313 (44%), 24.09s] Loss: 0.003679 
2019-03-13 08:44:04,632 - ClusterTrainer - INFO -    > [233984/517313 (45%), 23.56s] Loss: 0.003284 
2019-03-13 08:44:07,582 - ClusterTrainer - INFO -    > [242048/517313 (47%), 22.66s] Loss: 0.003703 
2019-03-13 08:44:10,532 - ClusterTrainer - INFO -    > [250112/517313 (48%), 22.18s] Loss: 0.003624 
2019-03-13 08:44:13,483 - ClusterTrainer - INFO -    > [258176/517313 (50%), 21.54s] Loss: 0.003566 
2019-03-13 08:44:16,427 - ClusterTrainer - INFO -    > [266240/517313 (51%), 20.87s] Loss: 0.003535 
2019-03-13 08:44:19,383 - ClusterTrainer - INFO -    > [274304/517313 (53%), 20.14s] Loss: 0.003457 
2019-03-13 08:44:22,339 - ClusterTrainer - INFO -    > [282368/517313 (55%), 19.34s] Loss: 0.003388 
2019-03-13 08:44:25,287 - ClusterTrainer - INFO -    > [290432/517313 (56%), 18.82s] Loss: 0.003510 
2019-03-13 08:44:28,235 - ClusterTrainer - INFO -    > [298496/517313 (58%), 18.15s] Loss: 0.003244 
2019-03-13 08:44:31,181 - ClusterTrainer - INFO -    > [306560/517313 (59%), 17.33s] Loss: 0.003226 
2019-03-13 08:44:34,129 - ClusterTrainer - INFO -    > [314624/517313 (61%), 16.76s] Loss: 0.002998 
2019-03-13 08:44:37,088 - ClusterTrainer - INFO -    > [322688/517313 (62%), 16.10s] Loss: 0.003168 
2019-03-13 08:44:40,029 - ClusterTrainer - INFO -    > [330752/517313 (64%), 15.43s] Loss: 0.003035 
2019-03-13 08:44:42,981 - ClusterTrainer - INFO -    > [338816/517313 (65%), 14.84s] Loss: 0.003332 
2019-03-13 08:44:45,931 - ClusterTrainer - INFO -    > [346880/517313 (67%), 14.15s] Loss: 0.003048 
2019-03-13 08:44:48,877 - ClusterTrainer - INFO -    > [354944/517313 (69%), 13.50s] Loss: 0.003330 
2019-03-13 08:44:51,824 - ClusterTrainer - INFO -    > [363008/517313 (70%), 12.77s] Loss: 0.002865 
2019-03-13 08:44:54,773 - ClusterTrainer - INFO -    > [371072/517313 (72%), 12.02s] Loss: 0.003115 
2019-03-13 08:44:57,721 - ClusterTrainer - INFO -    > [379136/517313 (73%), 11.42s] Loss: 0.002961 
2019-03-13 08:45:00,668 - ClusterTrainer - INFO -    > [387200/517313 (75%), 10.73s] Loss: 0.002848 
2019-03-13 08:45:03,620 - ClusterTrainer - INFO -    > [395264/517313 (76%), 10.19s] Loss: 0.002711 
2019-03-13 08:45:06,574 - ClusterTrainer - INFO -    > [403328/517313 (78%), 9.42s] Loss: 0.002905 
2019-03-13 08:45:09,520 - ClusterTrainer - INFO -    > [411392/517313 (79%), 8.83s] Loss: 0.002646 
2019-03-13 08:45:12,466 - ClusterTrainer - INFO -    > [419456/517313 (81%), 8.10s] Loss: 0.002899 
2019-03-13 08:45:15,418 - ClusterTrainer - INFO -    > [427520/517313 (83%), 7.42s] Loss: 0.002840 
2019-03-13 08:45:18,369 - ClusterTrainer - INFO -    > [435584/517313 (84%), 6.69s] Loss: 0.002812 
2019-03-13 08:45:21,316 - ClusterTrainer - INFO -    > [443648/517313 (86%), 6.09s] Loss: 0.002701 
2019-03-13 08:45:24,263 - ClusterTrainer - INFO -    > [451712/517313 (87%), 5.48s] Loss: 0.002669 
2019-03-13 08:45:27,211 - ClusterTrainer - INFO -    > [459776/517313 (89%), 4.80s] Loss: 0.002543 
2019-03-13 08:45:30,158 - ClusterTrainer - INFO -    > [467840/517313 (90%), 4.11s] Loss: 0.002729 
2019-03-13 08:45:33,108 - ClusterTrainer - INFO -    > [475904/517313 (92%), 3.43s] Loss: 0.002579 
2019-03-13 08:45:36,057 - ClusterTrainer - INFO -    > [483968/517313 (94%), 2.80s] Loss: 0.002398 
2019-03-13 08:45:39,010 - ClusterTrainer - INFO -    > [492032/517313 (95%), 2.12s] Loss: 0.002660 
2019-03-13 08:45:41,964 - ClusterTrainer - INFO -    > [500096/517313 (97%), 1.43s] Loss: 0.002506 
2019-03-13 08:45:44,907 - ClusterTrainer - INFO -    > [508160/517313 (98%), 0.77s] Loss: 0.002540 
2019-03-13 08:45:47,859 - ClusterTrainer - INFO -    > [516224/517313 (100%), 0.11s] Loss: 0.002573 
2019-03-13 08:45:48,268 - ClusterTrainer - INFO -    > Total loss: 0.004682
2019-03-13 08:45:48,268 - ClusterTrainer - INFO - Valid Epoch: 0
2019-03-13 08:45:48,308 - ClusterTrainer - INFO -    > [128/27436 (0%), 0.71s] Loss: 0.001758 
2019-03-13 08:45:50,797 - ClusterTrainer - INFO -    > [8192/27436 (29%), 0.50s] Loss: 0.002324 
2019-03-13 08:45:53,283 - ClusterTrainer - INFO -    > [16256/27436 (59%), 0.29s] Loss: 0.002278 
2019-03-13 08:45:55,765 - ClusterTrainer - INFO -    > [24320/27436 (88%), 0.09s] Loss: 0.001488 
2019-03-13 08:45:56,730 - ClusterTrainer - INFO -    > Total loss: 0.002412
2019-03-13 08:54:38,118 - ClusterTrainer - INFO - Saving checkpoint: logs/conv_ae_horoma/0313_014634/3/last_checkpoint.pth ...
2019-03-13 08:55:23,710 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0313_014634/3/best_checkpoint.pth ...
2019-03-13 08:56:01,130 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0313_014634/3/best_checkpoint_kmeans20-F1.pth ...
2019-03-13 08:56:49,305 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0313_014634/3/best_checkpoint_kmeans20-accuracy.pth ...
2019-03-13 08:57:37,403 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0313_014634/3/best_checkpoint_kmeans100-F1.pth ...
2019-03-13 08:58:12,081 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0313_014634/3/best_checkpoint_kmeans100-accuracy.pth ...
2019-03-13 08:59:00,465 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0313_014634/3/best_checkpoint_kmeans300-F1.pth ...
2019-03-13 08:59:32,149 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0313_014634/3/best_checkpoint_kmeans300-accuracy.pth ...
2019-03-13 08:59:32,150 - ClusterTrainer - INFO - Train Epoch: 1
2019-03-13 08:59:32,230 - ClusterTrainer - INFO -    > [128/517313 (0%), 44.11s] Loss: 0.002504 
2019-03-13 08:59:35,161 - ClusterTrainer - INFO -    > [8192/517313 (2%), 42.03s] Loss: 0.002718 
2019-03-13 08:59:38,092 - ClusterTrainer - INFO -    > [16256/517313 (3%), 41.18s] Loss: 0.002577 
2019-03-13 08:59:41,024 - ClusterTrainer - INFO -    > [24320/517313 (5%), 40.54s] Loss: 0.002489 
2019-03-13 08:59:43,958 - ClusterTrainer - INFO -    > [32384/517313 (6%), 39.88s] Loss: 0.002555 
2019-03-13 08:59:46,891 - ClusterTrainer - INFO -    > [40448/517313 (8%), 39.33s] Loss: 0.002432 
2019-03-13 08:59:49,825 - ClusterTrainer - INFO -    > [48512/517313 (9%), 38.54s] Loss: 0.002473 
2019-03-13 08:59:52,754 - ClusterTrainer - INFO -    > [56576/517313 (11%), 37.93s] Loss: 0.002288 
2019-03-13 08:59:55,687 - ClusterTrainer - INFO -    > [64640/517313 (12%), 37.25s] Loss: 0.002349 
2019-03-13 08:59:58,621 - ClusterTrainer - INFO -    > [72704/517313 (14%), 36.63s] Loss: 0.002355 
2019-03-13 09:00:01,554 - ClusterTrainer - INFO -    > [80768/517313 (16%), 35.81s] Loss: 0.002473 
2019-03-13 09:00:04,487 - ClusterTrainer - INFO -    > [88832/517313 (17%), 35.02s] Loss: 0.002467 
2019-03-13 09:00:07,422 - ClusterTrainer - INFO -    > [96896/517313 (19%), 34.34s] Loss: 0.002318 
2019-03-13 09:00:10,354 - ClusterTrainer - INFO -    > [104960/517313 (20%), 34.13s] Loss: 0.002328 
2019-03-13 09:00:13,289 - ClusterTrainer - INFO -    > [113024/517313 (22%), 33.05s] Loss: 0.002378 
2019-03-13 09:00:16,224 - ClusterTrainer - INFO -    > [121088/517313 (23%), 32.61s] Loss: 0.002359 
2019-03-13 09:00:19,160 - ClusterTrainer - INFO -    > [129152/517313 (25%), 31.72s] Loss: 0.002305 
2019-03-13 09:00:22,095 - ClusterTrainer - INFO -    > [137216/517313 (26%), 31.32s] Loss: 0.002193 
2019-03-13 09:00:25,031 - ClusterTrainer - INFO -    > [145280/517313 (28%), 30.43s] Loss: 0.002385 
2019-03-13 09:00:27,964 - ClusterTrainer - INFO -    > [153344/517313 (30%), 30.13s] Loss: 0.002251 
2019-03-13 09:00:30,899 - ClusterTrainer - INFO -    > [161408/517313 (31%), 29.11s] Loss: 0.002357 
2019-03-13 09:00:33,833 - ClusterTrainer - INFO -    > [169472/517313 (33%), 28.47s] Loss: 0.002118 
