2019-03-13 06:39:06,325 - ClusterTrainer - INFO - |  Hyperparameter  |        Value         |
| :--------------- | :------------------- |
| lr               | 0.000862571101762328 |
| code_size        | 59                   |
| lin2_in_channels | 54                   |
| dropout          | 0.3676896943156376   |

2019-03-13 06:39:06,327 - ClusterTrainer - INFO - Train Epoch: 0
2019-03-13 06:39:06,405 - ClusterTrainer - INFO -    > [128/517313 (0%), 43.43s] Loss: 0.074666 
2019-03-13 06:39:09,340 - ClusterTrainer - INFO -    > [8192/517313 (2%), 41.86s] Loss: 0.009315 
2019-03-13 06:39:12,276 - ClusterTrainer - INFO -    > [16256/517313 (3%), 40.83s] Loss: 0.008138 
2019-03-13 06:39:15,206 - ClusterTrainer - INFO -    > [24320/517313 (5%), 40.32s] Loss: 0.006638 
2019-03-13 06:39:18,140 - ClusterTrainer - INFO -    > [32384/517313 (6%), 39.51s] Loss: 0.005778 
2019-03-13 06:39:21,069 - ClusterTrainer - INFO -    > [40448/517313 (8%), 39.32s] Loss: 0.005626 
2019-03-13 06:39:23,997 - ClusterTrainer - INFO -    > [48512/517313 (9%), 38.35s] Loss: 0.004878 
2019-03-13 06:39:26,926 - ClusterTrainer - INFO -    > [56576/517313 (11%), 37.47s] Loss: 0.004691 
2019-03-13 06:39:29,857 - ClusterTrainer - INFO -    > [64640/517313 (12%), 36.78s] Loss: 0.004399 
2019-03-13 06:39:32,786 - ClusterTrainer - INFO -    > [72704/517313 (14%), 36.41s] Loss: 0.004042 
2019-03-13 06:39:35,713 - ClusterTrainer - INFO -    > [80768/517313 (16%), 35.82s] Loss: 0.004147 
2019-03-13 06:39:38,642 - ClusterTrainer - INFO -    > [88832/517313 (17%), 34.96s] Loss: 0.003345 
2019-03-13 06:39:41,572 - ClusterTrainer - INFO -    > [96896/517313 (19%), 34.41s] Loss: 0.003413 
2019-03-13 06:39:44,498 - ClusterTrainer - INFO -    > [104960/517313 (20%), 33.42s] Loss: 0.003602 
2019-03-13 06:39:47,428 - ClusterTrainer - INFO -    > [113024/517313 (22%), 33.00s] Loss: 0.003422 
2019-03-13 06:39:50,360 - ClusterTrainer - INFO -    > [121088/517313 (23%), 32.71s] Loss: 0.003211 
2019-03-13 06:39:53,288 - ClusterTrainer - INFO -    > [129152/517313 (25%), 31.53s] Loss: 0.003480 
2019-03-13 06:39:56,214 - ClusterTrainer - INFO -    > [137216/517313 (26%), 31.00s] Loss: 0.003114 
2019-03-13 06:39:59,141 - ClusterTrainer - INFO -    > [145280/517313 (28%), 30.51s] Loss: 0.003273 
2019-03-13 06:40:02,069 - ClusterTrainer - INFO -    > [153344/517313 (30%), 29.70s] Loss: 0.003225 
2019-03-13 06:40:05,001 - ClusterTrainer - INFO -    > [161408/517313 (31%), 28.95s] Loss: 0.003165 
2019-03-13 06:40:07,929 - ClusterTrainer - INFO -    > [169472/517313 (33%), 28.41s] Loss: 0.003125 
2019-03-13 06:40:10,858 - ClusterTrainer - INFO -    > [177536/517313 (34%), 27.98s] Loss: 0.003085 
2019-03-13 06:40:13,784 - ClusterTrainer - INFO -    > [185600/517313 (36%), 27.36s] Loss: 0.002894 
2019-03-13 06:40:16,711 - ClusterTrainer - INFO -    > [193664/517313 (37%), 26.46s] Loss: 0.003118 
2019-03-13 06:40:19,641 - ClusterTrainer - INFO -    > [201728/517313 (39%), 25.49s] Loss: 0.003030 
2019-03-13 06:40:22,572 - ClusterTrainer - INFO -    > [209792/517313 (41%), 25.22s] Loss: 0.002777 
2019-03-13 06:40:25,498 - ClusterTrainer - INFO -    > [217856/517313 (42%), 24.42s] Loss: 0.002626 
2019-03-13 06:40:28,424 - ClusterTrainer - INFO -    > [225920/517313 (44%), 23.82s] Loss: 0.002877 
2019-03-13 06:40:31,356 - ClusterTrainer - INFO -    > [233984/517313 (45%), 23.27s] Loss: 0.002897 
2019-03-13 06:40:34,281 - ClusterTrainer - INFO -    > [242048/517313 (47%), 22.62s] Loss: 0.002915 
2019-03-13 06:40:37,216 - ClusterTrainer - INFO -    > [250112/517313 (48%), 21.55s] Loss: 0.002877 
2019-03-13 06:40:40,154 - ClusterTrainer - INFO -    > [258176/517313 (50%), 21.10s] Loss: 0.002649 
2019-03-13 06:40:43,086 - ClusterTrainer - INFO -    > [266240/517313 (51%), 20.68s] Loss: 0.002712 
2019-03-13 06:40:46,018 - ClusterTrainer - INFO -    > [274304/517313 (53%), 19.83s] Loss: 0.002845 
2019-03-13 06:40:48,948 - ClusterTrainer - INFO -    > [282368/517313 (55%), 19.38s] Loss: 0.002579 
2019-03-13 06:40:51,883 - ClusterTrainer - INFO -    > [290432/517313 (56%), 18.47s] Loss: 0.002741 
2019-03-13 06:40:54,819 - ClusterTrainer - INFO -    > [298496/517313 (58%), 17.98s] Loss: 0.002637 
2019-03-13 06:40:57,752 - ClusterTrainer - INFO -    > [306560/517313 (59%), 17.42s] Loss: 0.002544 
2019-03-13 06:41:00,688 - ClusterTrainer - INFO -    > [314624/517313 (61%), 16.58s] Loss: 0.002497 
2019-03-13 06:41:03,623 - ClusterTrainer - INFO -    > [322688/517313 (62%), 15.77s] Loss: 0.002502 
2019-03-13 06:41:06,556 - ClusterTrainer - INFO -    > [330752/517313 (64%), 15.26s] Loss: 0.002672 
2019-03-13 06:41:09,491 - ClusterTrainer - INFO -    > [338816/517313 (65%), 14.62s] Loss: 0.002446 
2019-03-13 06:41:12,424 - ClusterTrainer - INFO -    > [346880/517313 (67%), 13.88s] Loss: 0.002473 
2019-03-13 06:41:15,355 - ClusterTrainer - INFO -    > [354944/517313 (69%), 13.20s] Loss: 0.002519 
