2019-03-12 18:32:30,921 - ClusterTrainer - INFO - |  Hyperparameter  |         Value         |
| :--------------- | :-------------------- |
| lr               | 3.344654774494276e-05 |
| code_size        | 68                    |
| lin2_in_channels | 117                   |
| dropout          | 0.3063729927050812    |

2019-03-12 18:35:04,497 - ClusterTrainer - INFO -    > [411392/517313 (79%), 8.10s] Loss: 0.006077 
2019-03-12 18:35:07,521 - ClusterTrainer - INFO -    > [419456/517313 (81%), 7.53s] Loss: 0.006667 
2019-03-12 18:35:10,547 - ClusterTrainer - INFO -    > [427520/517313 (83%), 6.81s] Loss: 0.006345 
2019-03-12 18:35:13,567 - ClusterTrainer - INFO -    > [435584/517313 (84%), 6.30s] Loss: 0.006040 
2019-03-12 18:35:16,592 - ClusterTrainer - INFO -    > [443648/517313 (86%), 5.65s] Loss: 0.006473 
2019-03-12 18:35:19,614 - ClusterTrainer - INFO -    > [451712/517313 (87%), 5.04s] Loss: 0.006455 
2019-03-12 18:35:22,636 - ClusterTrainer - INFO -    > [459776/517313 (89%), 4.43s] Loss: 0.006308 
2019-03-12 18:35:25,660 - ClusterTrainer - INFO -    > [467840/517313 (90%), 3.82s] Loss: 0.006909 
2019-03-12 18:35:28,678 - ClusterTrainer - INFO -    > [475904/517313 (92%), 3.17s] Loss: 0.006182 
2019-03-12 18:35:31,702 - ClusterTrainer - INFO -    > [483968/517313 (94%), 2.55s] Loss: 0.005850 
2019-03-12 18:35:34,724 - ClusterTrainer - INFO -    > [492032/517313 (95%), 1.94s] Loss: 0.006554 
2019-03-12 18:35:37,745 - ClusterTrainer - INFO -    > [500096/517313 (97%), 1.32s] Loss: 0.006361 
2019-03-12 18:35:40,771 - ClusterTrainer - INFO -    > [508160/517313 (98%), 0.71s] Loss: 0.006706 
2019-03-12 18:35:43,793 - ClusterTrainer - INFO -    > [516224/517313 (100%), 0.10s] Loss: 0.006479 
2019-03-12 18:35:44,212 - ClusterTrainer - INFO -    > Total loss: 0.009893
2019-03-12 18:35:44,212 - ClusterTrainer - INFO - Valid Epoch: 0
2019-03-12 18:35:44,254 - ClusterTrainer - INFO -    > [128/27436 (0%), 0.69s] Loss: 0.011375 
2019-03-12 18:35:46,861 - ClusterTrainer - INFO -    > [8192/27436 (29%), 0.50s] Loss: 0.010067 
2019-03-12 18:35:49,470 - ClusterTrainer - INFO -    > [16256/27436 (59%), 0.29s] Loss: 0.010053 
2019-03-12 18:35:52,071 - ClusterTrainer - INFO -    > [24320/27436 (88%), 0.08s] Loss: 0.005918 
2019-03-12 18:35:53,077 - ClusterTrainer - INFO -    > Total loss: 0.009293
2019-03-12 18:45:49,138 - ClusterTrainer - INFO - Saving checkpoint: logs/conv_ae_horoma/0312_160210/1/last_checkpoint.pth ...
2019-03-12 18:46:29,502 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint.pth ...
2019-03-12 18:47:09,276 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans20-F1.pth ...
2019-03-12 18:47:58,260 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans20-accuracy.pth ...
2019-03-12 18:48:46,251 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans100-F1.pth ...
2019-03-12 18:49:31,977 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans100-accuracy.pth ...
2019-03-12 18:50:09,199 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/1/best_checkpoint_kmeans300-F1.pth ...
