2019-03-13 22:48:11,124 - ClusterTrainer - INFO - |  Hyperparameter  |         Value          |
| :--------------- | :--------------------- |
| lr               | 0.00034356378924277613 |
| code_size        | 71                     |
| lin2_in_channels | 87                     |
| dropout          | 0.3017690497389518     |

2019-03-13 22:48:11,125 - ClusterTrainer - INFO - Train Epoch: 0
2019-03-13 22:48:11,205 - ClusterTrainer - INFO -    > [128/517313 (0%), 43.82s] Loss: 0.076460 
2019-03-13 22:48:14,229 - ClusterTrainer - INFO -    > [8192/517313 (2%), 43.23s] Loss: 0.014176 
2019-03-13 22:48:17,262 - ClusterTrainer - INFO -    > [16256/517313 (3%), 41.62s] Loss: 0.009553 
2019-03-13 22:48:20,278 - ClusterTrainer - INFO -    > [24320/517313 (5%), 41.55s] Loss: 0.009598 
2019-03-13 22:48:23,294 - ClusterTrainer - INFO -    > [32384/517313 (6%), 44.16s] Loss: 0.008434 
2019-03-13 22:48:26,320 - ClusterTrainer - INFO -    > [40448/517313 (8%), 40.26s] Loss: 0.007352 
2019-03-13 22:48:29,336 - ClusterTrainer - INFO -    > [48512/517313 (9%), 39.30s] Loss: 0.006145 
2019-03-13 22:48:32,340 - ClusterTrainer - INFO -    > [56576/517313 (11%), 37.95s] Loss: 0.006487 
2019-03-13 22:48:35,347 - ClusterTrainer - INFO -    > [64640/517313 (12%), 38.63s] Loss: 0.005959 
2019-03-13 22:48:38,362 - ClusterTrainer - INFO -    > [72704/517313 (14%), 37.20s] Loss: 0.005593 
2019-03-13 22:48:41,375 - ClusterTrainer - INFO -    > [80768/517313 (16%), 37.74s] Loss: 0.005988 
2019-03-13 22:48:44,376 - ClusterTrainer - INFO -    > [88832/517313 (17%), 35.96s] Loss: 0.005218 
2019-03-13 22:48:47,374 - ClusterTrainer - INFO -    > [96896/517313 (19%), 34.83s] Loss: 0.005037 
2019-03-13 22:48:50,376 - ClusterTrainer - INFO -    > [104960/517313 (20%), 34.63s] Loss: 0.004850 
2019-03-13 22:48:53,387 - ClusterTrainer - INFO -    > [113024/517313 (22%), 34.30s] Loss: 0.004932 
2019-03-13 22:48:56,395 - ClusterTrainer - INFO -    > [121088/517313 (23%), 32.91s] Loss: 0.004722 
2019-03-13 22:48:59,413 - ClusterTrainer - INFO -    > [129152/517313 (25%), 47.00s] Loss: 0.004597 
