2019-03-12 21:01:00,152 - ClusterTrainer - INFO - |  Hyperparameter  |        Value         |
| :--------------- | :------------------- |
| lr               | 0.000862571101762328 |
| code_size        | 59                   |
| lin2_in_channels | 54                   |
| dropout          | 0.3676896943156376   |

2019-03-12 21:03:33,747 - ClusterTrainer - INFO -    > [411392/517313 (79%), 7.94s] Loss: 0.002475 
2019-03-12 21:03:36,747 - ClusterTrainer - INFO -    > [419456/517313 (81%), 7.37s] Loss: 0.002481 
2019-03-12 21:03:39,755 - ClusterTrainer - INFO -    > [427520/517313 (83%), 6.74s] Loss: 0.002602 
2019-03-12 21:03:42,770 - ClusterTrainer - INFO -    > [435584/517313 (84%), 6.18s] Loss: 0.002385 
2019-03-12 21:03:45,791 - ClusterTrainer - INFO -    > [443648/517313 (86%), 5.57s] Loss: 0.002542 
2019-03-12 21:03:48,814 - ClusterTrainer - INFO -    > [451712/517313 (87%), 4.98s] Loss: 0.002530 
2019-03-12 21:03:51,833 - ClusterTrainer - INFO -    > [459776/517313 (89%), 4.32s] Loss: 0.002449 
2019-03-12 21:03:54,853 - ClusterTrainer - INFO -    > [467840/517313 (90%), 3.73s] Loss: 0.002552 
2019-03-12 21:03:57,871 - ClusterTrainer - INFO -    > [475904/517313 (92%), 3.15s] Loss: 0.002438 
2019-03-12 21:04:00,887 - ClusterTrainer - INFO -    > [483968/517313 (94%), 2.55s] Loss: 0.002519 
2019-03-12 21:04:03,904 - ClusterTrainer - INFO -    > [492032/517313 (95%), 1.94s] Loss: 0.002352 
2019-03-12 21:04:06,922 - ClusterTrainer - INFO -    > [500096/517313 (97%), 1.33s] Loss: 0.002225 
2019-03-12 21:04:09,939 - ClusterTrainer - INFO -    > [508160/517313 (98%), 0.71s] Loss: 0.002376 
2019-03-12 21:04:12,963 - ClusterTrainer - INFO -    > [516224/517313 (100%), 0.10s] Loss: 0.002438 
2019-03-12 21:04:13,380 - ClusterTrainer - INFO -    > Total loss: 0.003441
2019-03-12 21:04:13,380 - ClusterTrainer - INFO - Valid Epoch: 0
2019-03-12 21:04:13,422 - ClusterTrainer - INFO -    > [128/27436 (0%), 0.68s] Loss: 0.002264 
2019-03-12 21:04:16,019 - ClusterTrainer - INFO -    > [8192/27436 (29%), 0.48s] Loss: 0.002783 
2019-03-12 21:04:18,623 - ClusterTrainer - INFO -    > [16256/27436 (59%), 0.28s] Loss: 0.001589 
2019-03-12 21:04:21,229 - ClusterTrainer - INFO -    > [24320/27436 (88%), 0.08s] Loss: 0.001302 
2019-03-12 21:04:22,231 - ClusterTrainer - INFO -    > Total loss: 0.001766
2019-03-12 21:12:45,274 - ClusterTrainer - INFO - Saving checkpoint: logs/conv_ae_horoma/0312_160210/2/last_checkpoint.pth ...
2019-03-12 21:13:28,315 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/2/best_checkpoint.pth ...
2019-03-12 21:14:07,210 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/2/best_checkpoint_kmeans20-F1.pth ...
2019-03-12 21:14:56,518 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/2/best_checkpoint_kmeans20-accuracy.pth ...
2019-03-12 21:15:40,452 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/2/best_checkpoint_kmeans100-F1.pth ...
2019-03-12 21:16:17,159 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/2/best_checkpoint_kmeans100-accuracy.pth ...
2019-03-12 21:16:57,558 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/2/best_checkpoint_kmeans300-F1.pth ...
2019-03-12 21:19:06,970 - ClusterTrainer - INFO - Saving best checkpoint: logs/conv_ae_horoma/0312_160210/2/best_checkpoint_kmeans300-accuracy.pth ...
2019-03-12 21:19:06,971 - ClusterTrainer - INFO - Train Epoch: 1
2019-03-12 21:19:07,052 - ClusterTrainer - INFO -    > [128/517313 (0%), 39.03s] Loss: 0.002476 
2019-03-12 21:19:10,046 - ClusterTrainer - INFO -    > [8192/517313 (2%), 38.10s] Loss: 0.002409 
2019-03-12 21:19:13,042 - ClusterTrainer - INFO -    > [16256/517313 (3%), 36.86s] Loss: 0.002280 
2019-03-12 21:19:16,040 - ClusterTrainer - INFO -    > [24320/517313 (5%), 37.30s] Loss: 0.002426 
2019-03-12 21:19:19,037 - ClusterTrainer - INFO -    > [32384/517313 (6%), 36.58s] Loss: 0.002515 
2019-03-12 21:19:22,039 - ClusterTrainer - INFO -    > [40448/517313 (8%), 35.47s] Loss: 0.002343 
2019-03-12 21:19:25,035 - ClusterTrainer - INFO -    > [48512/517313 (9%), 35.10s] Loss: 0.002245 
2019-03-12 21:19:28,023 - ClusterTrainer - INFO -    > [56576/517313 (11%), 34.75s] Loss: 0.002237 
2019-03-12 21:19:31,032 - ClusterTrainer - INFO -    > [64640/517313 (12%), 34.03s] Loss: 0.002297 
2019-03-12 21:19:34,054 - ClusterTrainer - INFO -    > [72704/517313 (14%), 34.00s] Loss: 0.002387 
2019-03-12 21:19:37,074 - ClusterTrainer - INFO -    > [80768/517313 (16%), 32.81s] Loss: 0.002420 
2019-03-12 21:19:40,113 - ClusterTrainer - INFO -    > [88832/517313 (17%), 32.64s] Loss: 0.002281 
2019-03-12 21:19:43,125 - ClusterTrainer - INFO -    > [96896/517313 (19%), 31.78s] Loss: 0.002330 
2019-03-12 21:19:46,145 - ClusterTrainer - INFO -    > [104960/517313 (20%), 31.70s] Loss: 0.002469 
2019-03-12 21:19:49,176 - ClusterTrainer - INFO -    > [113024/517313 (22%), 30.48s] Loss: 0.002229 
2019-03-12 21:19:52,201 - ClusterTrainer - INFO -    > [121088/517313 (23%), 29.86s] Loss: 0.002420 
2019-03-12 21:19:55,234 - ClusterTrainer - INFO -    > [129152/517313 (25%), 29.71s] Loss: 0.002368 
2019-03-12 21:19:58,259 - ClusterTrainer - INFO -    > [137216/517313 (26%), 28.81s] Loss: 0.002285 
2019-03-12 21:20:01,287 - ClusterTrainer - INFO -    > [145280/517313 (28%), 28.26s] Loss: 0.002409 
2019-03-12 21:20:04,319 - ClusterTrainer - INFO -    > [153344/517313 (30%), 27.33s] Loss: 0.002369 
2019-03-12 21:20:07,343 - ClusterTrainer - INFO -    > [161408/517313 (31%), 27.24s] Loss: 0.002250 
2019-03-12 21:20:10,376 - ClusterTrainer - INFO -    > [169472/517313 (33%), 26.53s] Loss: 0.002360 
2019-03-12 21:20:13,407 - ClusterTrainer - INFO -    > [177536/517313 (34%), 25.73s] Loss: 0.002189 
2019-03-12 21:20:16,434 - ClusterTrainer - INFO -    > [185600/517313 (36%), 25.50s] Loss: 0.002409 
2019-03-12 21:20:19,464 - ClusterTrainer - INFO -    > [193664/517313 (37%), 24.52s] Loss: 0.002319 
2019-03-12 21:20:22,494 - ClusterTrainer - INFO -    > [201728/517313 (39%), 23.66s] Loss: 0.002284 
2019-03-12 21:20:25,525 - ClusterTrainer - INFO -    > [209792/517313 (41%), 23.76s] Loss: 0.002343 
2019-03-12 21:20:28,549 - ClusterTrainer - INFO -    > [217856/517313 (42%), 22.60s] Loss: 0.002381 
2019-03-12 21:20:31,573 - ClusterTrainer - INFO -    > [225920/517313 (44%), 21.96s] Loss: 0.002335 
2019-03-12 21:20:34,607 - ClusterTrainer - INFO -    > [233984/517313 (45%), 21.67s] Loss: 0.002223 
2019-03-12 21:20:37,638 - ClusterTrainer - INFO -    > [242048/517313 (47%), 21.32s] Loss: 0.002374 
2019-03-12 21:20:40,669 - ClusterTrainer - INFO -    > [250112/517313 (48%), 20.09s] Loss: 0.002336 
2019-03-12 21:20:43,705 - ClusterTrainer - INFO -    > [258176/517313 (50%), 19.94s] Loss: 0.002325 
2019-03-12 21:20:46,735 - ClusterTrainer - INFO -    > [266240/517313 (51%), 19.04s] Loss: 0.002301 
2019-03-12 21:20:49,749 - ClusterTrainer - INFO -    > [274304/517313 (53%), 18.49s] Loss: 0.002416 
2019-03-12 21:20:52,761 - ClusterTrainer - INFO -    > [282368/517313 (55%), 17.63s] Loss: 0.002242 
2019-03-12 21:20:55,762 - ClusterTrainer - INFO -    > [290432/517313 (56%), 17.14s] Loss: 0.002242 
2019-03-12 21:20:58,776 - ClusterTrainer - INFO -    > [298496/517313 (58%), 16.51s] Loss: 0.002385 
2019-03-12 21:21:01,783 - ClusterTrainer - INFO -    > [306560/517313 (59%), 15.88s] Loss: 0.002471 
2019-03-12 21:21:04,794 - ClusterTrainer - INFO -    > [314624/517313 (61%), 15.10s] Loss: 0.002156 
2019-03-12 21:21:07,805 - ClusterTrainer - INFO -    > [322688/517313 (62%), 14.65s] Loss: 0.002337 
2019-03-12 21:21:10,805 - ClusterTrainer - INFO -    > [330752/517313 (64%), 13.84s] Loss: 0.002490 
2019-03-12 21:21:13,815 - ClusterTrainer - INFO -    > [338816/517313 (65%), 13.52s] Loss: 0.002180 
2019-03-12 21:21:16,820 - ClusterTrainer - INFO -    > [346880/517313 (67%), 12.73s] Loss: 0.002382 
2019-03-12 21:21:19,830 - ClusterTrainer - INFO -    > [354944/517313 (69%), 12.38s] Loss: 0.002299 
2019-03-12 21:21:22,846 - ClusterTrainer - INFO -    > [363008/517313 (70%), 11.22s] Loss: 0.002256 
2019-03-12 21:21:25,854 - ClusterTrainer - INFO -    > [371072/517313 (72%), 10.95s] Loss: 0.002161 
2019-03-12 21:21:28,870 - ClusterTrainer - INFO -    > [379136/517313 (73%), 10.46s] Loss: 0.002128 
2019-03-12 21:21:31,887 - ClusterTrainer - INFO -    > [387200/517313 (75%), 9.89s] Loss: 0.002330 
2019-03-12 21:21:34,898 - ClusterTrainer - INFO -    > [395264/517313 (76%), 9.23s] Loss: 0.002259 
2019-03-12 21:21:37,916 - ClusterTrainer - INFO -    > [403328/517313 (78%), 8.68s] Loss: 0.002256 
2019-03-12 21:21:40,935 - ClusterTrainer - INFO -    > [411392/517313 (79%), 8.03s] Loss: 0.002296 
2019-03-12 21:21:43,964 - ClusterTrainer - INFO -    > [419456/517313 (81%), 7.46s] Loss: 0.002206 
2019-03-12 21:21:46,996 - ClusterTrainer - INFO -    > [427520/517313 (83%), 6.90s] Loss: 0.002343 
2019-03-12 21:21:50,018 - ClusterTrainer - INFO -    > [435584/517313 (84%), 6.19s] Loss: 0.002228 
2019-03-12 21:21:53,053 - ClusterTrainer - INFO -    > [443648/517313 (86%), 5.54s] Loss: 0.002284 
2019-03-12 21:21:56,080 - ClusterTrainer - INFO -    > [451712/517313 (87%), 4.98s] Loss: 0.002377 
2019-03-12 21:21:59,109 - ClusterTrainer - INFO -    > [459776/517313 (89%), 4.35s] Loss: 0.002172 
2019-03-12 21:22:02,142 - ClusterTrainer - INFO -    > [467840/517313 (90%), 3.77s] Loss: 0.002262 
2019-03-12 21:22:05,170 - ClusterTrainer - INFO -    > [475904/517313 (92%), 3.16s] Loss: 0.002428 
2019-03-12 21:22:08,198 - ClusterTrainer - INFO -    > [483968/517313 (94%), 2.58s] Loss: 0.002253 
2019-03-12 21:22:11,226 - ClusterTrainer - INFO -    > [492032/517313 (95%), 1.92s] Loss: 0.002392 
2019-03-12 21:22:14,252 - ClusterTrainer - INFO -    > [500096/517313 (97%), 1.33s] Loss: 0.002314 
2019-03-12 21:22:17,287 - ClusterTrainer - INFO -    > [508160/517313 (98%), 0.71s] Loss: 0.002137 
2019-03-12 21:22:20,309 - ClusterTrainer - INFO -    > [516224/517313 (100%), 0.10s] Loss: 0.002210 
2019-03-12 21:22:20,728 - ClusterTrainer - INFO -    > Total loss: 0.002303
2019-03-12 21:22:20,729 - ClusterTrainer - INFO - Valid Epoch: 1
2019-03-12 21:22:20,770 - ClusterTrainer - INFO -    > [128/27436 (0%), 0.68s] Loss: 0.001999 
2019-03-12 21:22:23,379 - ClusterTrainer - INFO -    > [8192/27436 (29%), 0.49s] Loss: 0.002502 
2019-03-12 21:22:25,986 - ClusterTrainer - INFO -    > [16256/27436 (59%), 0.29s] Loss: 0.001428 
2019-03-12 21:22:28,589 - ClusterTrainer - INFO -    > [24320/27436 (88%), 0.08s] Loss: 0.001161 
2019-03-12 21:22:29,598 - ClusterTrainer - INFO -    > Total loss: 0.001579
